Application,class,Number_Api_Calls,Class_Size,Issue_Score
AntennaPod,DownloadLogAdapter,21,6,9.407999454975506
AntennaPod,DBWriter,168,39,10.830548811739394
AntennaPod,FeedItemlistAdapter,17,5,3.678742806921162
AntennaPod,FileNameGenerator,4,2,2.0
AntennaPod,OpmlFeedChooserActivity,17,7,0.07142857142857142
AntennaPod,PlaybackController,41,25,3.969142463900859
AntennaPod,FeedFile,2,3,0.03773584905660377
AntennaPod,FeedItemFilter,2,2,0.1373522940402096
AntennaPod,SPAReceiver,5,2,0.43570264613102233
AntennaPod,GpodnetSyncService,25,19,11.57614936534233
AntennaPod,NSITunes,9,3,2.0
AntennaPod,Downloader,7,2,2.1132075471698126
AntennaPod,DownloadRequest,8,6,3.7713354547624616
AntennaPod,NSRSS20,9,3,11.119886782615835
AntennaPod,VideoplayerActivity,30,29,5.6
AntennaPod,FeedHandler,9,2,0.3333333333333333
AntennaPod,CompletedDownloadsFragment,10,21,0.26438350706323965
AntennaPod,ExternalPlayerFragment,11,14,4.420791161222076
AntennaPod,PodcastListAdapter,8,2,1.8928452389733568
AntennaPod,NSSimpleChapters,5,2,0.0670727655559139
AntennaPod,NavListAdapter,22,10,8.964138695989895
AntennaPod,FeedInfoActivity,41,14,9.056865662769635
AntennaPod,MainActivity,65,44,35.286499043289844
AntennaPod,PowerConnectionReceiver,4,2,3.20388446431284
AntennaPod,QueueListAdapter,21,8,6.68674689449588
AntennaPod,FeedImage,2,3,0.3480559876099971
AntennaPod,EpisodesApplyActionFragment,45,28,1.345726267886472
AntennaPod,DownloadedEpisodesListAdapter,15,5,0.12460941147737639
AntennaPod,FlattrAuthActivity,16,7,0.07142857142857142
AntennaPod,ItemlistFragment,53,37,10.96727273702675
AntennaPod,OpmlImportFromPathActivity,16,9,12.999369746492267
AntennaPod,ItemFragment,71,24,17.228010259525597
AntennaPod,ConnectivityActionReceiver,5,2,0.42717636373424206
AntennaPod,QueueEvent,2,5,3.591067533577231
AntennaPod,FeedUpdateReceiver,1,2,2.206898111510477
AntennaPod,DownloadObserver,25,11,1.4255265295498296
AntennaPod,SearchlistAdapter,9,4,0.24921882295475278
AntennaPod,DBTasks,43,27,16.319534302851682
AntennaPod,ActionButtonUtils,4,2,2.522840644768143
AntennaPod,OpmlReader,8,2,1.0754716981132075
AntennaPod,SearchFragment,21,22,0.7901152196094422
AntennaPod,GpodnetMainFragment,5,4,0.8097495123265269
AntennaPod,NewEpisodesFragment,6,9,10.2436266861256
AntennaPod,OpmlImportWorker,14,6,1.0
AntennaPod,OpmlBackupAgent,26,5,0.012836468736821535
AntennaPod,UndoBarController,11,6,1.9999999999999998
AntennaPod,NetworkUtils,10,5,5.054298371694247
AntennaPod,DateUtils,11,3,6.391840892234663
AntennaPod,PodcastListFragment,33,12,5.098110019882601
AntennaPod,FeedMedia,17,25,17.493961175059987
AntennaPod,SyndHandler,6,8,2.5149163266737045
AntennaPod,FeedComponent,1,2,2.037735849056604
AntennaPod,PodDBAdapter,31,23,26.877340170243254
AntennaPod,TagFragment,3,5,1.0759281351882886
AntennaPod,APDownloadAlgorithm,12,3,2.8842948720187698
AntennaPod,QueueSorter,19,4,0.012836468736821535
AntennaPod,OnlineFeedViewActivity,58,19,6.057451396672307
AntennaPod,FlattrStatus,2,4,0.045454545454545456
AntennaPod,GpodnetAuthenticationActivity,63,12,4.00742086982214
AntennaPod,ApOkHttpUrlLoader,11,6,2.2766720778968024
AntennaPod,DefaultOnlineFeedViewActivity,29,14,1.9603120576083983
AntennaPod,LongList,6,7,0.0250914137115319
AntennaPod,NSDublinCore,3,3,0.029336916499310136
AntennaPod,MediaplayerActivity,62,34,12.574734552364722
AntennaPod,OpmlImportFromIntentActivity,7,2,2.068895793698333
AntennaPod,AllEpisodesFragment,52,34,5.3698879870265035
AntennaPod,PlaybackHistoryFragment,33,27,4.60166400182824
AntennaPod,LangUtils,4,2,0.02702702702702703
AntennaPod,FeedItemPubdateComparator,3,2,0.02702702702702703
AntennaPod,PlaybackService,65,42,54.735673704361965
AntennaPod,OpmlFeedQueuer,7,5,0.8984323192890713
AntennaPod,AboutActivity,6,4,12.45070840026834
AntennaPod,AudioPlayer,1,2,0.11572392319667875
AntennaPod,FeedMediaSizeService,1,1,6.459150326797389
AntennaPod,PlaybackServiceMediaPlayer,101,43,19.332449360793596
AntennaPod,FlattrUtils,14,2,4.788928056909597
OsmAnd Contour lines,SRTMPluginActivity,10,3,0.03125
BetterBatteryStats,BatteryGraphSeries,3,4,0.16666666666666666
BetterBatteryStats,ScreenEventHandler,9,2,1.2865800865800865
BetterBatteryStats,StatsProvider,37,61,78.89094699846596
BetterBatteryStats,ReceiversFragmentActivity,11,6,0.1466039707419018
BetterBatteryStats,CreditsAdapter,6,3,0.17845386489003512
BetterBatteryStats,GraphableButton,8,4,1.0377358490566038
BetterBatteryStats,SystemAppActivity,30,9,3.3544583768721696
BetterBatteryStats,PermissionsAdapter,10,6,3.545454545454546
BetterBatteryStats,ReferenceDBHelper,23,15,1.0
BetterBatteryStats,FirstLaunch,13,4,1.5495911495911494
BetterBatteryStats,Reading,28,7,5.418207941483805
BetterBatteryStats,BbsDashClockExtension,10,2,1.0
BetterBatteryStats,GoogleAnalytics,9,4,0.1111111111111111
BetterBatteryStats,StatsAdapter,41,7,21.589355782257506
BetterBatteryStats,DashClockSettingsActivity,3,4,1.125
BetterBatteryStats,WriteScreenOnReferenceService,6,3,0.23376623376623376
BetterBatteryStats,HistAdapter,6,5,1.0
BetterBatteryStats,BbsWidgetProvider,14,7,0.5
BetterBatteryStats,LargeWidgetProvider,9,3,2.3384128634128634
BetterBatteryStats,ServicesAdapter,7,6,1.0227272727272727
BetterBatteryStats,StatsActivity,67,20,63.46424281371052
BetterBatteryStats,Wakelock,5,3,2.0
BetterBatteryStats,ReferenceStore,12,15,2.495633641378323
BetterBatteryStats,BatteryGraphActivity,34,16,1.7847222222222223
BetterBatteryStats,PermissionsFragmentActivity,12,10,3.4519517750258766
BetterBatteryStats,WidgetBars,12,4,2.1678571428571427
BetterBatteryStats,KbDbHelper,13,11,1.0
BetterBatteryStats,HistActivity,7,10,0.5274263005004017
BetterBatteryStats,SmallWidgetProvider,9,3,1.654267729267729
BetterBatteryStats,WriteScreenOffReferenceService,10,3,0.6580086580086579
BetterBatteryStats,WriteDumpfileService,6,3,2.513227513227513
BetterBatteryStats,UpdateLargeWidgetService,18,2,7.794136246636248
BetterBatteryStats,PreferencesActivity,28,5,2.27388474447298
BetterBatteryStats,UpdateMediumWidgetService,16,2,3.796163273663276
BetterBatteryStats,WriteCurrentReferenceService,5,3,0.14285714285714285
BetterBatteryStats,AboutActivity,15,4,0.22941176470588237
BetterBatteryStats,WriteCustomReferenceService,5,3,0.23376623376623376
BetterBatteryStats,WidgetBattery,8,4,1.2
BetterBatteryStats,WriteBootReferenceService,7,3,0.14285714285714285
BetterBatteryStats,WriteUnpluggedReferenceService,7,3,0.4155844155844156
BetterBatteryStats,MediumWidgetProvider,9,3,0.9719111969111967
BetterBatteryStats,Reference,8,6,1.025
BetterBatteryStats,BatteryGraph2Activity,4,6,1.6666666666666665
BetterBatteryStats,PackageFragmentActivity,21,6,1.479937304075235
BetterBatteryStats,GraphableBars,4,4,1.5555555555555558
BetterBatteryStats,RawStatsActivity,18,10,1.9517987759367061
BetterBatteryStats,ReferencesAdapter,6,9,1.0555555555555556
BetterBatteryStats,KbReader,8,3,1.8833333333333333
BetterBatteryStats,UpdateSmallWidgetService,14,2,5.841421911421911
BetterBatteryStats,ServicesFragmentActivity,11,6,0.1466039707419018
BetterBatteryStats,WatchdogProcessingService,15,2,5.5446846129604745
BetterBatteryStats,SeekBarPreference,19,12,0.6000000000000001
BetterBatteryStats,PackageInfoTabsPager,19,9,0.1466039707419018
OpenKeychain,PassphraseCacheService,38,19,11.901036882971713
OpenKeychain,InstallDialogFragmentHelper,26,4,0.11764705882352941
OpenKeychain,HkpKeyserver,27,10,9.524002046915772
OpenKeychain,ViewKeyAdvUserIdsFragment,18,11,0.00980392156862745
OpenKeychain,OrbotHelper,38,22,0.7090479937057437
OpenKeychain,UncachedPublicKey,16,27,1.399464739112942
OpenKeychain,HelpAboutFragment,14,3,0.3412633187961437
OpenKeychain,KeyRing,7,5,0.1813380281690141
OpenKeychain,ViewKeyFragment,52,25,6.168772115909135
OpenKeychain,KeyAdapter,26,10,1.057214453371786
OpenKeychain,Choice,1,1,0.00796812749003984
OpenKeychain,CachingCryptoOperationFragment,1,4,0.093608692230032
OpenKeychain,KeyValueSpinnerAdapter,13,5,1.0173139218825633
OpenKeychain,Keyserver,6,2,0.27191029646366294
OpenKeychain,SubkeysAdapter,25,13,0.22389651902056795
OpenKeychain,OperationResult,34,24,5.986774819469652
OpenKeychain,TlsHelper,21,5,0.034680160994099485
OpenKeychain,DecryptFragment,28,21,4.125597492652755
OpenKeychain,ImportKeysListLoader,9,8,3.185692082409891
OpenKeychain,CanonicalizedPublicKey,6,13,0.5
OpenKeychain,PgpGeneralException,1,1,0.08139280063464513
OpenKeychain,AccountSettings,1,1,0.15080403087478558
OpenKeychain,PgpSignEncryptResult,3,5,0.025991751243935116
OpenKeychain,SignEncryptResult,3,5,0.01679634894508454
OpenKeychain,ImportKeysCloudFragment,21,10,0.2857142857142857
OpenKeychain,HelpMarkdownFragment,7,3,0.013803680981595092
OpenKeychain,SignEncryptOperation,10,2,4.118868630203503
OpenKeychain,ImportKeysActivity,15,19,13.441820373442717
OpenKeychain,SetPassphraseDialogFragment,34,12,2.0469120092597826
OpenKeychain,SubkeysAddedAdapter,18,3,0.1590311986863711
OpenKeychain,ProgressScaler,1,3,0.11755345948796064
OpenKeychain,PgpSignEncryptOperation,22,4,3.3017759424699946
OpenKeychain,RemoteService,15,10,2.0325344552770037
OpenKeychain,DisplayTextActivity,6,5,0.17557823848811782
OpenKeychain,TorServiceUtils,14,4,0.25806451612903225
OpenKeychain,SettingsKeyserverFragment,39,29,1.329032258064516
OpenKeychain,SelectKeyCursorAdapter,16,8,1.37926766639317
OpenKeychain,KeyserverSyncAdapterService,42,27,2.2436974789915967
OpenKeychain,KeychainApplication,19,7,5.934320259103279
OpenKeychain,PRNGFixes,36,14,0.039840637450199196
OpenKeychain,ContactHelper,32,38,20.616293671929245
OpenKeychain,SelectSignKeyIdActivity,12,8,2.1653290529695015
OpenKeychain,ContactSyncAdapterService,5,4,0.9493151688273636
OpenKeychain,EditKeyFragment,70,33,4.714771530578007
OpenKeychain,AddSubkeyDialogFragment,53,20,0.8672279433435613
OpenKeychain,AddEditKeyserverDialogFragment,54,24,0.1154715430449969
OpenKeychain,DecryptListFragment,98,42,5.2096969010245395
OpenKeychain,SupportInstallDialogFragment,2,3,0.12903225806451613
OpenKeychain,DeleteOperation,3,3,0.03359269789016908
OpenKeychain,RevokeOperation,5,3,0.024390243902439025
OpenKeychain,CloudSearch,10,3,2.0725236170077457
OpenKeychain,Primes,3,2,0.00796812749003984
OpenKeychain,AppSettings,1,1,0.1397989878625528
OpenKeychain,EditKeyOperation,3,2,0.1331525977081312
OpenKeychain,ProgressDialogFragment,16,8,4.460638761177525
OpenKeychain,Preferences,15,47,2.343116579883959
OpenKeychain,ServiceProgressHandler,11,10,0.397620811511223
OpenKeychain,DummyAccountService,16,11,0.004601226993865031
OpenKeychain,ViewKeyActivity,80,40,16.844433283085582
OpenKeychain,AccountSettingsActivity,11,11,0.4105692633535888
OpenKeychain,DecryptActivity,16,6,5.53870006256725
OpenKeychain,OpenPgpService,26,17,12.701058913740379
OpenKeychain,PgpEditKeyResult,3,5,0.02139405009450983
